                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
GYA-TG            , "GYA,Tighten Guy"                                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-BACK          , Equipment Adder Backyard                                                                          , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 122.67         , 122.67 , 0
PLA-BRACRBF       , "PLA,Gnd Brace Rock Backfill(New)Full"                                                            , POLE, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-CUT           , "PLA,Cut Off Pole Top"                                                                            , POLE, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 222.66         , 222.66 , 0
PLA-DLOC          , "PLA,Difficult Location"                                                                          , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 246.83         , 246.83 , 0
PLA-FLAG          , "PLA,Flag Traffic"                                                                                , P15M, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-HDIG          , Hand Dig Pole Hole                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 667.99         , 667.99 , 0
PLA-HSET          , "PLA,Hand Set Pole"                                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-JADJ          , "PLA,Junction Pole Adjacent Hole (Hot)"                                                           , POLE, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 497.97         , 0      , 0
PLA-LOWBOY        , "Pole, Lowboy Operate Adder"                                                                      , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-ROCK          , Rock Hole                                                                                         , POLE, Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 889.25         , 0      , 0
PLA-STRT          , Straighten Pole                                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-TAG           , "PLA,Tag Pole"                                                                                    , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
PLA-TRAC          , Equipment Adder Off Road                                                                          , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
XRA-BACK          , "XRA, Equipment Adder Back Yard"                                                                  , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
XRA-DL            , "XRA,Difficult Location"                                                                          , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
XRA-LOWBOY        , "Xfmr, Lowboy Operate Adder"                                                                      , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
XRA-TRAC          , "XRA, Equipment Adder Off Road"                                                                   , HF  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-ANT           , "AMI,Silver Springs, Antenna Kit"                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-AP            , "AMI, Access Point"                                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
